REGION,COUNTRY,KW1,KW2,PROJECT TITLE,CLIENT,Name of Client,Duration  (months),EUR Value of assignment,Origin of funding,Start Year,Duration
Africa,Tanzania,GCS,SE,PEMEA. Appraisal for DANIDA support to research and education for democracy in Tanzania phase 5,PEM EA -Danida,"Ministry of Foreign Affairs, Denmark",2 Months,"1,436",Denmark,2004,2 Months
Global,Global,GCS,AM,DAC discussion on the decentralization and poverty abatement,Danida,"Ministry of Foreign Affairs, Denmark",1 Months,1,Denmark,2004,1 Months
Asia,Indonesia,GCS,ENM,Post-Tsunami Recovery Programme,UNEP,UNEP,23 Months,"35,040",UN,2003,23 Months
Global,Global,GCS,PSM,"Chart of accounts, reporting and facilitation of phase I and II (MS)",CMI,,1 Months,1,Denmark,2003,1 Months
Africa,Eritrea,GCS,SE,Demobilization and Reintegration Programme-Multi-Donor Assessment Mission,Danida,"Ministry of Foreign Affairs, Denmark",10 Months,"62,670",Denmark,2001,10 Months
Asia,Vietnam,GCS,ENM,"Provision of Capacity Development Training for the Ministry of Planning and Investment (MPI) and in particular for the Department of Science, Education and Environment (DSEE). Danish Environmental Assistance (DEA).",Danida,"Ministry of Foreign Affairs, Denmark",23 Months,"236,940",Denmark,2001,23 Months
Africa,Mali,GMD,WS,Formulation of the Mali Country Programme 2017-2021.,Danida,"Ministry of Foreign affairs, Denmark ",6 Months,"116,360",,2016,6 Months
Africa,Ethiopia  ,GMD,ARD,Development and Formulation of Danida Country Programme for Ethiopia (2018-2022),Danida,"Danida, Ministry of Foreign Affairs, Denmark",9 Months,"128,344",Denmark,2018,9 Months
Global,Global,GMD,GCS,Evaluation of the Danish Neighbourhood Programme 2013-2017,Danida,"Danida, Ministry of Foreign Affairs, Denmark",9 Months,"214,396",Denmark,2016,9 Months
Africa,Kenya ,GMD,WRM,Consultancy for the International Water Stewardship Programme (IWaSP),GIZ,GIZ,1 Months,"8,000",Germany ,2018,1 Months
Africa,Kenya ,GMD,ENM,Facilitation of workshop on a potential phase 2 of the Strategic Sector Cooperation between Kenya and Denmark,Danish Environmental Protection Agency,Danish Environmental Protection Agency,2 Months,"26,438",Denmark,2018,2 Months
Europe,Ukraine  ,GMD,FM,SME Development for Job Creation in Ukraine 2019-2023,Danida,"Danida, Ministry of Foreign Affairs, Denmark",3 Months,"33,477",Denmark,2018,3 Months
Global,Global,GMD,CC,"Formulation of a Financial Support Mechanism for P4G partnerships; Development of an operations manual for P4G partnership fund; lessons learned study on the first call for proposals	",Danida,"Danida, Ministry of Foreign Affairs, Denmark",13 Months,"87,645",Denmark,2018,13 Months
Africa,Zambia  ,GMD,ARD,"Mid-term evaluation of International Development Enterprises 
(iDE) Zambia´s Small Holder Agricultural Reform through 
Enterprise Development (SHARED) Project",Indevelop Sweden AB,Niras Indevelop Sweden AB,8 Months,"29,415",Sweden,2018,8 Months
Africa,Mali,GMD,WS,Formulation of the Mali Country Programme 2017-2021.,Danida,"Danida, Ministry of Foreign Affairs, Denmark",6 Months,"103,170",Denmark,2016,6 Months
Global,Global,GMD,FM,Evaluation of Sida's capacity development programme for  Risk Management in Banking 2003-2014,Indevelop Sweden AB,Indevelop Sweden AB for Sida,8 Months,"29,571",Sweden,2015,8 Months
Africa,Ghana,GMD,ARD,"4th Review of the Support to Private Sector Development, Phase II",Danida,Danida,2 Months,"33,584",Denmark,2015,2 Months
Africa,Ghana  ,GMD,SP,"Programme formulation for the Support to Private Sector Development, Phase III, 2016-2020",Danida,"Danida, Ministry of Foreign Affairs, Denmark",8 Months,"333,877",Denmark,2015,8 Months
Africa,Uganda  ,GMD,ARD,"Inception Review of the U-Growth II Programme, Uganda",Danida,"Danida, Ministry of Foreign Affairs, Denmark",2 Months,"66,950",Denmark,2015,2 Months
Global,Global,GMD,WS,Framework support for the Water Stewardship Programme (IWaSP),GIZ,Deutsche Gesellschaft für Technische Zusammenarbeit (GTZ),13 Months,"55,000",Germany,2015,13 Months
Africa,Ghana  ,GMD,GCS,BUSAC Evaluation - Term of reference - Expert,OPM for Danida ,,68 Months,"35,058",Denmark/Danida,2014,68 Months
Africa,Ghana  ,GMD,SE,3rd Review of the Support to Private Sector Development Phase II - & Danida Business Finance ,Danida,"Danida, Ministry of Foreign Affairs, Denmark",2 Months,"59,355",Denmark,2013,2 Months
Africa,Tanzania  ,GMD,ARD,Support in Standardising Donor Funding for SAGCOT Centre,Wasafiri Consulting,Wasafiri Consulting,8 Months,"15,000",UK,2013,8 Months
Asia,Afghanistan,GMD,ARD,"Identification Mission, Livelihoods 2013/Economic and Employment Programme (Afghanistan).",Danida,"Danida, Ministry of Foreign Affairs, Denmark",3 Months,"51,710",Denmark,2013,3 Months
Africa,Benin,GMD,SE,Consultancy assignment to review the DMEF project and the CESCA project in Benin,BF,Børnefonden,3 Months,"19,670",0,2012,3 Months
Africa,Kenya  ,GMD,ARD,Midterm review of Hand in Hand Eastern Africa - Enterprise Development for Rural Families in Kenya,Hand in and Eastern Africa (HiH EA),Hand in and Eastern Africa (HiH EA),2 Months,"23,020",SIDA,2012,2 Months
Asia,Bangladesh,GMD,ARD,"Appraisal of Agriculture and Food Security Project in the Chittagong Hill Tracts, Bangladesh.

",Danida,"Danida, Ministry of Foreign Affairs, Denmark",2 Months,"30,180",Denmark,2013,2 Months
Asia,Vietnam  ,GMD,ARD,"Business Sector Programme Phasing-out Support 2011-2013
Mid-term Review



",Danida,"Danida, Ministry of Foreign Affairs, Denmark",2 Months,"32,430",Denmark,2012,2 Months
Africa,Tanzania  ,GMD,ARD,Identification Mission BSPS IV,Danida,Embassy of Denmark,5 Months,"59,910",Denmark,2011,5 Months
Europe,Serbia,GMD,GCS,Review of Local Economic Development in the Balkans (LEDIB),Danida,Danida,4 Months,18300,0,2011,4 Months
Europe,Ukraine  ,GMD,ARD,Rural Private Sector Development Programme in Ukraine,Danida,Danida,½ Months,"15,030",Danida,2011,½ Months
Americas,Peru  ,GMD,ENM,‘Sustainable Economic Development and Strategic Natural Resources Management Programme’,BTC,Belgium Technical Development Cooperation,5 Months,"49,870",Belgium,2011,5 Months
Asia,Vietnam  ,GMD,SE,"Human Rights and Good Governance Programme, Phase III.",Danida,"Danida, Ministry of Foreign Affairs, Denmark",21 Months,"102,390",Denmark,2010,21 Months
Asia,Nepal,GMD,GMD,"""Review of the 3F activities in Philippines and elaboration of a Programme Document , Formulation for a programme for the Danish Trade Union 3F to contribute to improve working conditions for garment workers in South West Asia
for 3F's programme in South Asia 2011 - 2013
""       
       
       
",3F,3F,1 Months,"30,963",,2010,1 Months
Asia,Bangladesh,GMD,GMD,"""Review of the 3F activities in Philippines and elaboration of a Programme Document , Formulation for a programme for the Danish Trade Union 3F to contribute to improve working conditions for garment workers in South West Asia
for 3F's programme in South Asia 2011 - 2013
""       
       
       
",3F,3F,1 Months,"30,963",,2010,1 Months
Asia,Sri Lanka,GMD,GMD,"""Review of the 3F activities in Philippines and elaboration of a Programme Document , Formulation for a programme for the Danish Trade Union 3F to contribute to improve working conditions for garment workers in South West Asia
for 3F's programme in South Asia 2011 - 2013
""       
       
       
",3F,3F,1 Months,"30,963",,2010,1 Months
Global,Global,GMD,GMD,For the mid-term review of Danida Organisation strategy with the Sustainable Trade lnitiative (IDH),Danida,"Danida, Ministry of Foreign Affairs, Denmark",5 Months,"30,548",Denmark,2017,5 Months
Africa,Uganda,GmD,GMD,U-growth II - Enabling Environment Component,Danida,"Danida, Ministry of Foreign Affairs, Denmark",2 Months,"21,283",Denmark,2013,2 Months
Americas,Bolivia,GMD,GMD,"PRO-REFORMA, Bolivia.",Danida,"Danida, Ministry of Foreign Affairs, Denmark",2 Months,"41,050",Denmark,2012,2 Months
Africa,Tanzania  ,GMD,GMD,Support to regional Economic Integration,Danida,"Danida, Ministry of Foreign Affairs, Denmark",2 Months,"9,820",Denmark,2011,2 Months
Africa,Kenya  ,GMD,GMD,"Regional Economics Integration, East africa",Danida,"Danida, Ministry of Foreign Affairs, Denmark",2 Months,"30,530",0,2011,2 Months
Asia,Vietnam,GMD,GMD,BWTO Program Phase II,WTO,WTO Vietnam,2 Months,"1,000",,2010,2 Months
Asia,Bhutan,GMD,GMD,"An analysis of the macro-economic outlook and its implications for the development of Bhutan, covering the period 2002-2017.",Danida,"Ministry of Foreign Affairs, Denmark",1 Months,1,Denmark,2001,1 Months
Global,Global,Other ,Other ,MID-TERM REVIEW OF IDH,IDH Sustainable Trade Initiativ,IDH Sustainable Trade Initiativ,4 Months,"96,987",0,2018,4 Months
Global,Global,Other ,Other ,"Evaluation of the European Instrument for Democracy and Human Rights (EIDHR)
",ade,,17 Months,"299,988",,2017,17 Months
Global,Global,Other ,Other ,Water and Wastewater Utilities for Climate Mitigation (WaCCliM},giz,Deutsche Gesellschaft für Technische Zusammenarbeit (giz),3 Months,"8,551",Germany,2018,3 Months
Asia,India  ,Other ,Other ,SWAR Results Audit,SIWI,Stockholm International Water Institute,3 Months,"31,662",,2015,3 Months
Asia,India  ,Other ,Other ,Climate Change Adaptation in the North Eastern Region (CCA NER),GIZ,Deutsche Gesellschaft für Technische Zusammenarbeit (GTZ),2 Months,"20,151",Germany,2014,2 Months
Africa,Tanzania  ,Other ,Other ,Support to the Ministry of Water and its Partners to lmplement the Big Result Now and Achieving the goals set Out.,DFID,Department for International Development ,24 Months,"113,022",UK,2015,24 Months
Americas,Bolivia,Other ,Other ,"Consultancy to support the exit process of Danida of ""Fideicomiso Fondo de Garantías y la Conversíon del Mismo en Una Sociedad Anónima de Giro Exclusivo""",Danida,Danida,3 Months,"20,896",Denmark,2018,3 Months
Global,Global,Other ,Other ,Further develop the draft JRC Nexus and SDGs Position Paper ,Engineering Consultant Belgium S.A.,Engineering Consultant Belgium S.A.,4 Months,"17,392",Denmark,2018,4 Months
Asia,Bangladesh,Other ,Other ,Mid Term Review of Katalyst/Agro Business Development Component,Danida,"Danida, Ministry of Foreign Affairs, Denmark",3 Months,25955.18298,Denmark,2015,3 Months
Global,Global,Other ,Other ,Appraisal of the Environmental Sector Support Programme,SKAT,Skat Foundation,4 Months,"46,659",Switzerland  ,2017,4 Months
Asia,Sri Lanka  ,Other ,Other ,Oluvil Port: Assessment of Need for additional Danida Business Finance Support,danida,"Danida, Ministry of Foreign Affairs, Denmark",3 Months,"26,431",Denmark,2017,3 Months
Europe,Croatia  ,Other ,Other ,Ex-post evaluation of EU assistance to Croatia in the period 2007-2013,ADE,"ADE for EU, Aid Delivery Methods - Support Team",4 Months,"45,000",EU,2017,4 Months
Global,Global,Other ,Other ,Review of the UNEP-DTU Partnership,danida,"Danida, Ministry of Foreign Affairs, Denmark",5 Months,"54,898",Denmark,2016,5 Months
Global,Global,Other ,Other ,,Indevelop Sweden AB,Indevelop Sweden AB for Sida,13 Months,"43,086",Sweden,2016,13 Months
Africa,Uganda  ,Other ,Other ,Civil Society Diagnostic - Uganda,danida,"Danida, Ministry of Foreign Affairs, Denmark",5 Months,"66,889",Denmark,2016,5 Months
Asia,Georgia  ,Other ,Other ,Inception Report of the STRATEGIC ENVIRONMENTAL AND SOCIAL ASSESSMENT OF DRAFT FOREST CODE OF GEORGIA,World Bank,World Bank,11 Months,"31,983",World bank,2016,11 Months
Global,Global,Other ,Other ,Ramavtal,Lattanzio,Lattanzio Advisory S.p.A,13 Months,"76,500",EU,2016,13 Months
Global,Global,Other ,Other ,"Training - Country-led environmental and climate change mainstreaming & Tools and Methods mainstreaming– Course revision
",ADE for EU,"ADE for EU, Aid Delivery Methods - Support Team",2 Months,"3,337",EU,2016,2 Months
Global,Global,Other ,Other ,Consultancy services for financing of environmental,SIDA,Sida - Swedish International Development Cooperation Agency,13 Months,"130,605",Sweden,2016,13 Months
Global,Global,Other ,Other ,Study on Regional Energy Cooperation in the MENA Region and Possible Entry Points for the New Regional Strategy,Indevelop Sweden AB,Indevelop Sweden AB for Sida,6 Months,"28,048",Sweden,2016,6 Months
Global,Global,Other ,Other ,"Training - Greening EU development cooperation
",Chare,,2 Months,"3,322",,2016,2 Months
Global,Global,Other ,Other ,"MS - Revision- Sector Note Agriculture
",ADE for EU,"ADE for EU, Aid Delivery Methods - Support Team",1 Months,"1,480",EU,2016,1 Months
Americas,Bolivia,Other ,Other ,Defining institutional/corporative solutions for a guarantee fund in Bolivia,Danida,"Danida, Ministry of Foreign Affairs, Denmark",10 Months,"20,036",Denmark,2016,10 Months
Asia,Vietnam  ,Other ,Other ,Support for preparation of Evaluation of Danish-Vietnamese Cooperation: Results and Transformation from Aid to Trade,Danida,"Danida, Ministry of Foreign Affairs, Denmark",1 Months,"26,393",Denmark,2015,1 Months
Global,Global,Other ,Other ,Update of the Guidelines on the Integration of Environment and Climate Change in Development Cooperation ,ADE,"ADE for EU, Aid Delivery Methods - Support Team",5 Months,"15,540",EU,2015,5 Months
Global,Global,Other ,Other ,Evaluation of Swedish (SMHI) International Training Programs (ITP); Climate Change - Mitigation and Adaptation 2007-2011,Indevelop Sweden AB,Indevelop Sweden AB for Sida,6 Months,"43,667",Sweden,2015,6 Months
Africa,Zambia  ,Other ,Other ,Consultancy of the Water Stewardship Programme (IWaSP): Support in organizing the strategy workshop and moderation of this event,GIZ,Deutsche Gesellschaft für Technische Zusammenarbeit (GTZ),2 Months,"21,400",Germany,2015,2 Months
Asia,Myanmar  ,Other ,Other ,"Formulation Mission: Support for Micro, Small and Medium sized Enterprises in Myanmar",Danida,"Danida, Ministry of Foreign Affairs, Denmark",3 Months,"66,215",Denmark,2015,3 Months
Asia,Georgia  ,Other ,Other ,Provision of expertise to support ETF initiatives for human capital development,DMI,DMI Associates,5 Months,"14,850",,2015,5 Months
Global,Global,Other ,Other ,KS - Trainers’ workshop,ADE,"ADE for EU, Aid Delivery Methods - Support Team",1 Months,"3,472",EU,2015,1 Months
Global,Global,Other ,Other ,Methodological and Knowledge Sharing Support (MKS) Programme - Seminar on Water,ADE,"ADE for EU, Aid Delivery Methods - Support Team",3 Months,"10,380",EU,2015,3 Months
Global,Global,Other ,Other ,Evaluation of ITP 288 “The role of labour market policy in poverty alleviation”,Indevelop Sweden AB,Indevelop Sweden AB for Sida,6 Months,"23,525",Sweden,2015,6 Months
Global,Global,Other ,Other ,Methodological and Knowledge Sharing Support (MKS) Programme - Seminar in Mainstreaming Environment and Climate Change in development operations,Ade,"ADE for EU, Aid Delivery Methods - Support Team",1 Months,"4,246",EU,2015,1 Months
Global,Global,Other ,Other ,Methodological and Knowledge Sharing Support (MKS) Programme - Seminar in Fragility,ADE,"ADE for EU, Aid Delivery Methods - Support Team",3 Months,"5,571",EU,2015,3 Months
Global,Global,Other ,Other ,Review of Sustainable Energy Fund for Africa (SEFA),Danida,"Danida, Ministry of Foreign Affairs, Denmark",3 Months,"33,569",Denmark,2015,3 Months
Global,Global,Other ,Other ,Support to the development of a new training module called (provisionally) “Project and Program Cycle Management - PPCM” ,ADE,"ADE for EU, Aid Delivery Methods - Support Team",4 Months,"7,304",EU,2015,4 Months
Africa,Burkina Faso,Other ,Other ,Appraisal of a National Cloud and Fiber Optic cable Infrastructure.,Danida,"Danida, Ministry of Foreign Affairs, Denmark",3 Months,"68,517",Denmark,2014,3 Months
Africa,Mozambique  ,Other ,Other ,Mozambique SINAS,WB,World Bank,8 Months,"59,124",World bank,2014,8 Months
Africa,Uganda  ,Other ,Other ,Sector note agriculture and presentation in Kampala ,ADE,"ADE for EU, Aid Delivery Methods - Support Team",63 Months,"10,320",EU,2014,63 Months
Africa,Uganda  ,Other ,Other ,Joint Water and Environment Section Support Programme 2013-18.,Danida,"Danida, Ministry of Foreign Affairs, Denmark",2 Months,"21,732",Denmark,2014,2 Months
Africa,Uganda  ,Other ,Other ,Consultancy to support Ministry of Water & Environment (MWE) to implement recommandations from the JWESSP's Inception Phase,Danida,"Danida, Ministry of Foreign Affairs, Denmark",2 Months,"24,204",Denmark,2014,2 Months
Africa,Uganda  ,Other ,Other ,Support to the Ministry of Water & Environment in Implementing Recommendations from the Inception Phase of JWESSP.,Danida,"Danida, Ministry of Foreign Affairs, Denmark",2 Months,"22,936",Denmark,2014,2 Months
Asia,India  ,Other ,Other ,Climate Change Adaption in the North Eastern Region (CCA NER),GIZ,Deutsche Gesellschaft für Technische Zusammenarbeit (GTZ),10 Months,"26,300",Germany,2014,10 Months
Asia,Kazakhstan  ,Other ,Other ,Seminar Water ,ADE,"ADE for EU, Aid Delivery Methods - Support Team",5 Months,"15,052",EU,2014,5 Months
Global,Global,Other ,Other ,Sparring i forbindelse med udarbejdelse af koncept note (kultur/art delen),BF,BØRNEfonden,2 Months,"2,681",Denmark,2014,2 Months
Global,Global,Other ,Other ,Mid-Term Review of SIWI Strategy 2013-2017,SIWI,Stockholm International Water Institute,3 Months,"34,210",,2014,3 Months
Global,Global,Other ,Other ,Mid-Term Review of SIWI Strategy 2 2013-2017,SIWI,,3 Months,"34,210",,2014,3 Months
Global,Global,Other ,Other ,Environment training course - Delivery ,ADE,"ADE for EU, Aid Delivery Methods - Support Team",1 Months,"12,084",EU,2014,1 Months
Global,Global,Other ,Other ,Seminar Fragility,ADE,"ADE for EU, Aid Delivery Methods - Support Team",1 Months,"6,312",EU,2014,1 Months
Global,Global,Other ,Other ,Water Sector preparatory analysis.,Danida,"Danida, Ministry of Foreign Affairs, Denmark",2 Months,"16,699",Denmark,2014,2 Months
Global,Global,Other ,Other ,Mid-Term Review of the Water and Sanitation Initiative Global Program,DFAT,Department of Foreign Affairs and Trade ,3 Months,"19,800",,2014,3 Months
Americas,Bolivia,Other ,Other ,Review of Guarantee Fund financed under first phase of the ASAP Program,Danida,"Danida, Ministry of Foreign Affairs, Denmark",2 Months,"33,260",Denmark,2014,2 Months
Oceania,Fiji  ,Other ,Other ,Seminar Water,ADE,"ADE for EU, Aid Delivery Methods - Support Team",2 Months,"16,163",EU,2014,2 Months
Africa,Burkina Faso,Other ,Other , Appraisal of the Burkina Faso Country Programme 2016-2020.,Danida,"Danida, Ministry of Foreign Affairs, Denmark",5 Months,"156,361",Denmark,2013,5 Months
Africa,Morocco  ,Other ,Other ,Water Seminar + Green Economy - PPCMY2-200-C2-EBN ,ADE,"ADE for EU, Aid Delivery Methods - Support Team",2 Months,"14,110",EU,2013,2 Months
Africa,Tanzania  ,Other ,Other ,"Support ministerial  delivery units and the development of options for Big Results Now implementation at subnational
leveIs",DFID,Department for International Development ,2 Months,"19,190",UK,2013,2 Months
Asia,China  ,Other ,Other ,Integration of Environment and Climate change in development cooperation - Delivery,ADE,"ADE for EU, Aid Delivery Methods - Support Team",1 Months,"7,308",EU,2013,1 Months
Global,Global,Other ,Other ,Review CGIAR + SAWGP,GHK,GHK,1 Months,"2,240",0,2013,1 Months
Global,Global,Other ,Other ,Review 3 - Generalist course Environment ,ADE,ADE for EU,4 Months,"4,500",EU,2013,4 Months
Global,Global,Other ,Other ,Environment training course - Delivery,ADE,"ADE for EU, Aid Delivery Methods - Support Team",1 Months,"5,030",EU,2013,1 Months
Global,Global,Other ,Other ,Mainstreaming environment and climate change into policy and operations and Water Sector Guidance Note,ADE,ADE,1 Months,"9,750",EU,2013,1 Months
Americas,Bolivia,Other ,Other ,Bolivia Contry Programme 2014-2018 Support to finalisation of Tematic area: Acceso a derechos,Danida,"Danida, Ministry of Foreign Affairs, Denmark",1 Months,"23,083",Denmark,2013,1 Months
Americas,Mexico  ,Other ,Other ,Assistance to preparation and implemetattion of Climate Change Mitigation and Energy program in Mexico,DEA,The Danish Energy Agency,12 Months,"34,275",Denmark,2013,12 Months
Africa,Ghana  ,Other ,Other ,Support to Private Sector Development II (Ghana).,Danida,"Danida, Ministry of Foreign Affairs, Denmark",2 Months,63840,Denmark,2012,2 Months
Africa,Ghana  ,Other ,Other ,"Support to Private Sector Development, Phase II",Danida,"Embassy of Denmark, Ghana",2 Months,30540,Denmark,2012,2 Months
Asia,India  ,Other ,Other ,"Water Policy for Meghalaya State, India",Seacon,Seacon A/S,15 Months,17712.18272,,2012,15 Months
Asia,Nepal  ,Other ,Other ,Growth and Employment Programme in Nepal - Component III.,Danida,Embassy of Denmark,4 Months,"79,500",Denmark,2012,4 Months
Global,Global,Other ,Other ,Preparation of 5 Guidance Notes on ENV and CC mainstreaming - Governance,ADE for EU,ADE for EU,1 Months,"6,600",EU,2012,1 Months
Americas,Bolivia,Other ,Other ,Support for preparation of country policy paper Denmark-Bolivia,Danida,"Danida, Ministry of Foreign Affairs, Denmark",4 Months,"17,920",Denmark,2012,4 Months
Asia,Jordan  ,Other ,Other ,Support of Utilities Management and Utilities Reform ACWUA Technical Working Groups,Sida,WSP International Europe AB / Sida - Swedish International Development Cooperation Agency,3 Months,"3,865",Sweden,2012,3 Months
Africa,Burkina Faso,Other ,Other ,Formulation des composantes d'appui au secteur public du Programme de croissance et d'emploi en ,Danida,"Danida, Ministry of Foreign Affairs, Denmark",4 Months,"42,540",Denmark,2011,4 Months
Americas,Honduras,Other ,Other ,Honduras Cementos del norte,Steen Fredriksen,,1 Months,1,,2002,1 Months
Asia,Afghanistan,PSM,GCS,Provision of conducting an External Evaluation of the Support to Hospital Midwifery Education Program in Afghanistan,NCG,Nordic Consulting Group A/S,3 Months,"12,947",SEK,2014,3 Months
Africa,Dem. Rep. Congo,PSM,GCS,Lessons learned and the way forward of the Public Service Census in Kinshasa City project,Sida,Swedish International Development Cooperation Agency - Sida ,7 days,"9,330",,2010,7 days
Americas,Bolivia,PSM,ARD,Identification/Preparation of Programme Support to Productive sector,Danida,"Ministry of Foreign Affairs, Denmark",26 Months,"304,030",Danida,2009,26 Months
Africa,Dem. Rep. Congo,PSM,GCS," Independent evaluation of the Public Service Census in Kinshasa City State, Democratic Republic of Congo",Sida,Swedish International Development Cooperation Agency - Sida ,9 Months,"19,430",Sweden,2008,9 Months
Africa,Tanzania,PSM,ARD,Financial Management Adviser for the Danida Funded Agricultural Sector Programme Support Phase II,Danida,"Ministry of Foreign Affairs, Denmark",6 Months,"83,720",Denmark,2008,6 Months
Asia,Vietnam,PSM,ARD,Financial Management in Dien Bien Province,Danida,"Ministry of Foreign Affairs, Denmark",3 Months,"38,850",Denmark,2006,3 Months
Global,Global,PSM,AM,Kursus i Public Sector Reforms 19 - 20 April 2006,Danida,"Ministry of Foreign Affairs, Denmark",1 Months,"12,680",Denmark,2006,1 Months
Global,Global,PSM,PSM,Danida Fellowship Course - Project Management (sub-consultant).,Danida Fellowship Centre,Danida Fellowship Centre,51 Months,"62,315",Denmark,2003,51 Months
Global,Global,PSM,PSM,Danida Fellowship Course - Financial Management in the Public Sector (4 courses of 10 weeks each) (contract holder).,Danida Fellowship Centre,Danida Fellowship Centre,1 Months,1,Denmark,2001,1 Months
Africa,Zambia,PSM,PSM,"Support to Development of Financial and Administrative Management System, Central Board of Health (CBoH)",Danida,"Ministry of Foreign Affairs, Denmark",1 Months,1,Denmark,2000,1 Months
Africa,Tanzania  ,PSM,PSM,"Mid-Term Review of Health Sector Programme Support, Phase IV (2012-16)",Danida,"Danida, Ministry of Foreign Affairs, Denmark",1 Months,14610.72327,Denmark,2012,1 Months
Africa,Tanzania  ,PSM,PSM,Support to regional Economic Integration,0,danida,17 Months,"71,384",Sweden,2011,17 Months
Americas,Bolivia,PSM,PSM,Participacion en la revision conjunta del proyecto PDCR,Danida,"Ministry of Foreign Affairs, Denmark",,"304,030",Danida,2011,
Africa,Malawi,PSM,PSM,Final Evaluation of Phase 1 of the Income Generation Public Works Programme IGPWP,Agriconsulting Europe S.A. for the European Commission,Agriconsulting Europe S.A. for the European Commission,4 Months,"19,180",EU,2010,4 Months
Asia,Vietnam,PSM,PSM,"Support to Develop Systems and Capacity to Implement the M&E System for the National Programme on Labour Protection, Occupational Health and Safety 2011-2015",Danida,"Ministry of Foreign Affairs, Denmark",24 Months,"102,290",Denmark,2010,24 Months
Africa,South Africa,PSM,PSM,Evaluation of the Swedish Support to South African Revenue Service (SARS) through an institutional cooperation with Swedish Tax  Agency (STA,Sida,Swedish International Development Cooperation Agency - Sida ,5 Months,"38,790",Sweden,2009,5 Months
Americas,Bolivia,PSM,PSM,Review of the Institutional reform project,Danida,"Ministry of Foreign Affairs, Denmark",5 Months,"13,950",Denmark,2009,5 Months
Americas,Nicaragua,PSM,PSM,Project Assessment - Public Sector Technical Assistance (PSTCA) Project,World Bank,World Bank,5 Months,"55,670",WB,2009,5 Months
Africa,Tanzania,PSM,PSM,Final Evaluation of District Development Programme (DDP).,Swedish Embassy,Swedish Embassy,2 Months,"41,860",Sweden,2008,2 Months
Asia,Vietnam,PSM,PSM,Study Tour to Denmark on state asset manegement,"Ministry of Finance, Vietnam",Ministry of Finance/Vietnam and AusAid,5 Months,18980,,2008,5 Months
Asia,Vietnam,PSM,PSM,"Study Tour To Central Europe 
on Public Asset Management
",Ministry of Finance/ Vietnam and AusAid,Ministry of Finance/Vietnam and AusAid,3 Months,"35,940",,2008,3 Months
Asia,Vietnam,PSM,PSM,Review of Business Sector Programme Support,Danida,"Ministry of Foreign Affairs, Denmark",2 Months,"54,450",Denmark,2008,2 Months
Africa,Mali,PSM,PSM,"Formulation of the Private Sector Business Programme, Mali",Danida,"Ministry of Foreign Affairs, Denmark",5 Months,132850,Denmark,2007,5 Months
Africa,Tanzania,PSM,PSM,"Expenditure and Financial Accountability Review 2007 of the Medical Stores Department, Tanzania",EURO Health Group for the EU,Euro Health Group,2 Months,"20,270",Denmark,2007,2 Months
Asia,Timor-Leste,PSM,PSM,Capitalisation study,EURO Health Group for the EU,Euro Health Group,2 Months,"11,770",Denmark,2007,2 Months
Europe,Ukraine,PSM,PSM,"Assistance in tendering and award of Public Sector Reform Programme, Ukraine ",Danida,"Ministry of Foreign Affairs, Denmark",11 Months,"34,160",Denmark,2007,11 Months
Americas,Bolivia,PSM,PSM,Preparation of a Concept note and Project Document for Institutional Refoms,Danida,"Ministry of Foreign Affairs, Denmark",5 Months,45550,Denmark,2007,5 Months
Americas,Bolivia,PSM,PSM,Preparation of a Concept note and Project Document for Institutional Reforms,Danida,"Ministry of Foreign Affairs, Denmark",5 Months,"45,550",Denmark,2007,5 Months
Africa,Kenya,PSM,PSM,Formulation of the Kenya Good Governance Programme Sub-component 1.3: Public Sector Management,Danida,"Ministry of Foreign Affairs, Denmark",5 Months,"10,490",Denmark,2006,5 Months
Global,Global,PSM,PSM,Sida Framework Agreement for Consulting Services for Short Term Assignments within Public Financial Management,Sida,Swedish International Development Cooperation Agency - Sida ,1 Months,1,Sweden,2006,1 Months
Africa,Tanzania,PSM,PSM,Tanzania Health Sector Programme Support - Mission for Essential Medical Supplies (MEMS) project,EURO Health Group for the EU,Euro Health Group,3 Months,"18,830",Denmark,2005,3 Months
Africa,Uganda,PSM,PSM,Technical assistance to national medical stores,Danida,"Ministry of Foreign Affairs, Denmark",1 Months,1,Denmark,2005,1 Months
Africa,Uganda,PSM,PSM,"Financial Management Consultant to the national Medical Stores, Uganda ",Danida,"Ministry of Foreign Affairs, Denmark",15 Months,160980,Denmark,2005,15 Months
Africa,Uganda,PSM,PSM,Preparation of the pro-poor paper for the JSR + lead facilitator of the joint sector review,MWE-DWD Uganda,"Ministry of Water and Environment, Uganda",1 Months,1,,2004,1 Months
Americas,Bolivia,PSM,PSM,Joint evaluation of the programme for institutional reform,Danida,"Ministry of Foreign Affairs, Denmark",4 Months,28910,Denmark,2004,4 Months
Americas,Bolivia,PSM,PSM,Midterm Review of IMCC San Lucas (a primary health project),IMCC/ Danida,"IMCC/ Ministry of Foreign Affairs, Denmark",3 Months,14670,Denmark,2004,3 Months
Africa,Ghana,PSM,PSM,Appraisal of the Health Sector Support Programme,HERA,HERA/ Danida,7 Months,5840,Denmark,2002,7 Months
